uark/csce5013/hjnauman/wifi_rtls : b'0 | -9'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -7'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -13'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -7'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -4'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -2'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -6'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -3'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -7'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -6'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -3'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -25'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -4'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -11'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -2'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -4'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -11'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -6'
uark/csce5013/hjnauman/wifi_rtls : b'0 | -3'
RSSI mean at 0 feet : -9

uark/csce5013/hjnauman/wifi_rtls : b'5 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -54'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -54'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -56'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -69'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -52'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -53'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -52'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -50'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -54'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -50'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -51'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -54'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -52'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -59'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -57'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -57'
uark/csce5013/hjnauman/wifi_rtls : b'5 | -62'
RSSI mean at 5 feet : -55

uark/csce5013/hjnauman/wifi_rtls : b'10 | -56'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -60'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -50'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -60'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -67'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -54'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -51'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -53'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -51'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -58'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -58'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -57'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -49'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -52'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -53'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -50'
uark/csce5013/hjnauman/wifi_rtls : b'10 | -59'
RSSI mean at 10 feet : -55

uark/csce5013/hjnauman/wifi_rtls : b'15 | -56'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -56'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -48'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -47'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -47'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -50'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -54'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -51'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -43'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -47'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -45'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -54'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -45'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -53'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -54'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -51'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -54'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -53'
uark/csce5013/hjnauman/wifi_rtls : b'15 | -49'
RSSI mean at 15 feet : -50

uark/csce5013/hjnauman/wifi_rtls : b'20 | -56'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -56'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -59'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -57'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -58'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -65'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -58'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -57'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -58'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -65'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -66'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -57'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'20 | -57'
